Frame Number, File Size (bytes), File Size (kB)
37, 117421, 114.66
56, 129171, 126.14
57, 129322, 126.29
58, 131132, 128.05
59, 142486, 139.14
60, 138844, 135.58
61, 138276, 135.03
62, 139091, 135.83
64, 135730, 132.54
65, 134439, 131.28
66, 132705, 129.59
67, 132710, 129.59
68, 133646, 130.51
69, 135275, 132.10
70, 135270, 132.09
71, 132973, 129.85
76, 131445, 128.36
96, 129444, 126.41
115, 131684, 128.59
116, 132367, 129.26
117, 133778, 130.64
118, 138269, 135.02
119, 139714, 136.43
122, 141238, 137.92
123, 141589, 138.27
128, 144275, 140.89
129, 145024, 141.62
130, 143084, 139.73
149, 131903, 128.81
161, 126982, 124.00
166, 126665, 123.69
170, 124226, 121.31
171, 125633, 122.68
172, 125570, 122.62
173, 120657, 117.82
174, 120666, 117.83
175, 125986, 123.03
176, 132658, 129.54
177, 130489, 127.43
178, 125580, 122.63
179, 123190, 120.30
180, 123969, 121.06
181, 122133, 119.27
182, 119437, 116.63
183, 117437, 114.68
184, 118106, 115.33
185, 115399, 112.69
186, 116050, 113.33
187, 110572, 107.98
188, 109348, 106.78
189, 103877, 101.44
190, 107021, 104.51
191, 105814, 103.33
192, 102803, 100.39
193, 109099, 106.54
194, 106328, 103.83
195, 106689, 104.18
196, 103552, 101.12
197, 104507, 102.05
198, 105224, 102.75
199, 109012, 106.45
200, 110981, 108.37
201, 112726, 110.08
202, 104046, 101.60
203, 100596, 98.23
204, 101168, 98.79
205, 105854, 103.37
206, 116627, 113.89
207, 118464, 115.68
208, 111237, 108.62
209, 111519, 108.90
210, 110346, 107.75
211, 109631, 107.06
212, 110042, 107.46
213, 107962, 105.43
214, 110595, 108.00
215, 112784, 110.14
216, 116819, 114.08
217, 117437, 114.68
218, 120496, 117.67
219, 122300, 119.43
220, 122660, 119.78
221, 120301, 117.48
222, 120330, 117.50
223, 121353, 118.50
224, 119294, 116.49
225, 118559, 115.78
226, 117638, 114.88
227, 115886, 113.16
228, 114631, 111.94
229, 113566, 110.90
