Frame Number, File Size (bytes), File Size (kB)
8, 40678, 39.72
18, 216799, 211.71
26, 203274, 198.50
27, 199952, 195.26
31, 191193, 186.71
32, 178125, 173.95
33, 168192, 164.25
34, 159853, 156.10
35, 154333, 150.71
36, 146863, 143.42
39, 172108, 168.07
40, 171568, 167.54
41, 163433, 159.60
49, 203188, 198.42
51, 203882, 199.10
58, 194787, 190.22
59, 196303, 191.70
60, 186117, 181.75
64, 193401, 188.86
65, 193565, 189.02
66, 184944, 180.60
74, 212032, 207.06
84, 210561, 205.62
87, 208829, 203.93
90, 179652, 175.44
91, 168901, 164.94
93, 175763, 171.64
94, 167343, 163.42
95, 155771, 152.12
96, 142498, 139.15
97, 135189, 132.02
98, 128657, 125.64
99, 123503, 120.60
100, 122922, 120.04
101, 122038, 119.17
102, 122606, 119.73
103, 118155, 115.38
104, 118812, 116.02
105, 134917, 131.75
106, 121943, 119.08
107, 115991, 113.27
108, 116411, 113.68
109, 113564, 110.90
110, 112670, 110.02
111, 117977, 115.21
112, 116334, 113.60
113, 118700, 115.91
114, 116123, 113.40
115, 109048, 106.49
116, 110370, 107.78
117, 108688, 106.14
118, 108464, 105.92
119, 109975, 107.39
120, 106587, 104.08
122, 152613, 149.03
123, 151256, 147.71
124, 131587, 128.50
125, 102864, 100.45
126, 143434, 140.07
128, 129997, 126.95
129, 119672, 116.86
130, 132244, 129.14
131, 115269, 112.56
132, 122132, 119.26
133, 134519, 131.36
134, 155427, 151.78
135, 144061, 140.68
136, 137373, 134.15
137, 140925, 137.62
138, 153302, 149.70
139, 156248, 152.58
140, 160859, 157.08
141, 172328, 168.28
142, 169089, 165.12
143, 183259, 178.96
144, 174920, 170.82
145, 167626, 163.69
146, 180099, 175.87
147, 174036, 169.95
148, 179482, 175.27
154, 208784, 203.89
155, 206976, 202.12
156, 192593, 188.07
160, 203679, 198.90
164, 202787, 198.03
166, 200772, 196.06
168, 199773, 195.09
