Frame Number, File Size (bytes), File Size (kB)
35, 128127, 125.12
36, 132677, 129.56
47, 143609, 140.24
57, 137499, 134.27
58, 139303, 136.03
59, 142291, 138.95
60, 146612, 143.17
61, 141784, 138.46
62, 141244, 137.93
64, 139767, 136.49
65, 141162, 137.85
66, 139354, 136.08
67, 135374, 132.20
68, 135683, 132.50
69, 134844, 131.68
70, 137547, 134.32
71, 137867, 134.63
76, 136713, 133.50
77, 136431, 133.23
78, 136083, 132.89
103, 135194, 132.02
115, 136318, 133.12
116, 138237, 134.99
117, 139665, 136.39
118, 141273, 137.96
119, 144701, 141.30
120, 144565, 141.17
121, 143757, 140.38
122, 144324, 140.94
123, 145574, 142.16
124, 144658, 141.26
127, 141875, 138.54
128, 140656, 137.35
129, 140406, 137.11
130, 139006, 135.74
145, 143326, 139.96
157, 138106, 134.86
158, 138411, 135.16
160, 139623, 136.35
162, 133779, 130.64
163, 132973, 129.85
166, 135400, 132.22
170, 136191, 132.99
171, 136446, 133.24
172, 137400, 134.17
173, 130398, 127.34
174, 129277, 126.24
175, 131758, 128.66
176, 134390, 131.24
177, 131482, 128.40
178, 129670, 126.63
179, 130698, 127.63
180, 126736, 123.76
181, 121437, 118.59
182, 119018, 116.22
183, 117536, 114.78
184, 119848, 117.03
185, 119026, 116.23
186, 116982, 114.24
187, 115209, 112.50
188, 107202, 104.68
189, 109463, 106.89
190, 109909, 107.33
191, 108163, 105.62
192, 105645, 103.16
193, 113271, 110.61
194, 106976, 104.46
195, 98164, 95.86
196, 105565, 103.09
197, 106266, 103.77
198, 107306, 104.79
199, 111060, 108.45
200, 114381, 111.70
201, 117507, 114.75
202, 114699, 112.01
203, 111570, 108.95
204, 105063, 102.60
205, 112302, 109.66
206, 123443, 120.54
207, 130348, 127.29
208, 117474, 114.72
209, 117428, 114.67
210, 117136, 114.39
211, 116561, 113.82
212, 113959, 111.28
213, 110537, 107.94
214, 113271, 110.61
215, 109929, 107.35
216, 115704, 112.99
217, 126608, 123.64
218, 139298, 136.03
219, 138353, 135.11
220, 125795, 122.84
221, 123914, 121.00
222, 125905, 122.95
223, 130392, 127.33
224, 129369, 126.33
225, 125426, 122.48
226, 124174, 121.26
227, 124577, 121.65
228, 117322, 114.57
229, 117463, 114.70
230, 117878, 115.11
231, 113086, 110.43
232, 116037, 113.31
233, 117197, 114.45
234, 124262, 121.34
235, 130234, 127.18
236, 137039, 133.82
237, 139937, 136.65
238, 143155, 139.79
239, 149836, 146.32
240, 151226, 147.68
241, 150452, 146.92
248, 147049, 143.60
250, 148589, 145.10
251, 159834, 156.08
252, 159481, 155.74
253, 167973, 164.03
254, 180779, 176.54
255, 196624, 192.01
256, 208031, 203.15
257, 217025, 211.93
258, 235060, 229.55
259, 254199, 248.24
260, 275600, 269.14
261, 265639, 259.41
262, 280913, 274.32
263, 287188, 280.45
264, 294204, 287.30
265, 294773, 287.86
266, 300444, 293.40
267, 300991, 293.93
268, 298119, 291.13
269, 298332, 291.33
270, 298690, 291.68
271, 287639, 280.89
272, 271377, 265.01
273, 272593, 266.20
274, 295895, 288.95
275, 307807, 300.59
276, 301688, 294.61
277, 310433, 303.15
278, 304488, 297.35
279, 309413, 302.16
280, 287630, 280.88
281, 290594, 283.78
282, 293839, 286.95
283, 294556, 287.65
284, 282835, 276.20
285, 268932, 262.62
286, 275059, 268.61
287, 266758, 260.50
288, 276653, 270.16
289, 265316, 259.09
290, 251077, 245.19
291, 253540, 247.59
292, 251893, 245.98
293, 239417, 233.80
294, 233055, 227.59
295, 234759, 229.25
296, 240568, 234.92
297, 240398, 234.76
298, 241895, 236.22
299, 250395, 244.52
300, 222913, 217.68
301, 208705, 203.81
302, 190614, 186.14
303, 188687, 184.26
304, 199642, 194.96
305, 205796, 200.97
306, 190405, 185.94
307, 153405, 149.80
308, 141526, 138.20
309, 154310, 150.69
310, 160231, 156.47
311, 169001, 165.04
312, 170453, 166.45
313, 171193, 167.18
314, 174473, 170.38
315, 169537, 165.56
316, 165964, 162.07
317, 168790, 164.83
318, 167997, 164.05
319, 170894, 166.88
320, 168385, 164.43
321, 170484, 166.48
322, 166773, 162.86
323, 169104, 165.14
324, 164366, 160.51
325, 166471, 162.56
326, 164277, 160.42
327, 154350, 150.73
328, 149081, 145.58
329, 135948, 132.76
330, 120713, 117.88
331, 120281, 117.46
332, 128276, 125.26
333, 124225, 121.31
334, 133511, 130.38
335, 142574, 139.23
336, 157876, 154.17
337, 177500, 173.33
338, 196711, 192.10
339, 199722, 195.04
340, 198540, 193.88
341, 207583, 202.71
342, 214808, 209.77
343, 202922, 198.16
344, 195178, 190.60
345, 224799, 219.53
346, 241811, 236.14
347, 241167, 235.51
348, 244741, 239.00
349, 247844, 242.03
350, 249763, 243.90
351, 258711, 252.64
352, 262582, 256.42
353, 267764, 261.48
354, 264614, 258.41
355, 266816, 260.56
356, 265930, 259.69
357, 250436, 244.56
358, 242958, 237.26
359, 232206, 226.76
360, 226612, 221.30
361, 183646, 179.34
362, 197326, 192.70
363, 209108, 204.20
364, 204429, 199.63
365, 225345, 220.06
366, 253980, 248.02
367, 263679, 257.49
368, 265205, 258.98
369, 280678, 274.09
370, 279159, 272.61
371, 251307, 245.41
372, 253517, 247.57
373, 251278, 245.38
374, 255487, 249.49
376, 256853, 250.83
377, 254935, 248.95
378, 248144, 242.32
379, 245781, 240.02
380, 248875, 243.04
381, 248144, 242.32
382, 250704, 244.82
383, 239681, 234.06
384, 253436, 247.49
385, 259469, 253.38
386, 261208, 255.08
387, 262062, 255.91
388, 251853, 245.95
389, 257849, 251.80
390, 253544, 247.60
391, 267571, 261.29
392, 262560, 256.40
393, 274197, 267.77
394, 287929, 281.18
395, 303582, 296.46
396, 302496, 295.40
397, 306081, 298.90
398, 307887, 300.67
399, 300391, 293.35
400, 294478, 287.57
401, 298228, 291.23
402, 295217, 288.29
403, 296305, 289.36
404, 298908, 291.90
405, 306551, 299.36
406, 309323, 302.07
407, 310033, 302.76
408, 295873, 288.93
409, 302757, 295.66
410, 302750, 295.65
411, 291503, 284.67
413, 310819, 303.53
414, 308703, 301.46
415, 310028, 302.76
416, 309796, 302.53
418, 311249, 303.95
419, 311609, 304.30
421, 305519, 298.35
423, 308223, 300.99
424, 309348, 302.09
425, 305080, 297.92
426, 285060, 278.37
427, 231251, 225.83
428, 208436, 203.55
429, 227632, 222.29
430, 244831, 239.09
432, 274474, 268.04
433, 268272, 261.98
434, 278200, 271.67
435, 281033, 274.44
436, 285647, 278.95
437, 287132, 280.40
438, 277172, 270.67
439, 287910, 281.16
440, 262951, 256.78
441, 247829, 242.02
442, 261602, 255.47
443, 262796, 256.63
444, 271668, 265.30
445, 261603, 255.47
446, 266108, 259.87
447, 265483, 259.26
450, 267750, 261.47
451, 262655, 256.49
452, 247836, 242.02
454, 268864, 262.56
456, 267847, 261.56
457, 268192, 261.90
458, 253865, 247.91
460, 247723, 241.91
462, 252848, 246.92
463, 252210, 246.29
464, 254390, 248.42
465, 254163, 248.20
466, 249914, 244.05
467, 264520, 258.32
468, 278245, 271.72
469, 286616, 279.89
470, 303820, 296.69
471, 304326, 297.19
472, 296606, 289.65
474, 303134, 296.02
475, 313077, 305.73
476, 311408, 304.10
484, 323376, 315.79
488, 325299, 317.67
489, 327455, 319.78
490, 319744, 312.25
491, 314462, 307.09
492, 305261, 298.10
494, 315861, 308.45
496, 323869, 316.27
497, 323606, 316.02
498, 325930, 318.29
501, 319768, 312.27
503, 321768, 314.22
504, 328507, 320.80
505, 294369, 287.46
506, 263506, 257.33
507, 285458, 278.76
508, 272583, 266.19
509, 218575, 213.45
510, 214521, 209.49
511, 256099, 250.09
512, 258373, 252.31
513, 289361, 282.57
514, 291704, 284.86
515, 288403, 281.64
516, 265146, 258.93
518, 292177, 285.32
519, 295642, 288.71
521, 301497, 294.43
522, 301829, 294.75
523, 266127, 259.88
524, 249591, 243.74
525, 264023, 257.83
526, 274731, 268.29
