Frame Number, File Size (bytes), File Size (kB)
16, 293372, 286.49, Left
16, 329506, 321.78, Right
23, 284193, 277.53, Left
23, 326114, 318.47, Right
31, 277257, 270.75, Left
31, 314659, 307.28, Right
37, 275364, 268.91, Left
37, 302406, 295.31, Right
43, 268736, 262.43, Left
43, 306923, 299.72, Right
47, 269091, 262.78, Left
47, 311025, 303.73, Right
53, 276022, 269.55, Left
53, 319077, 311.59, Right
59, 270577, 264.23, Left
59, 308529, 301.29, Right
64, 277127, 270.63, Left
64, 310593, 303.31, Right
68, 264604, 258.40, Left
68, 299922, 292.89, Right
72, 255330, 249.34, Left
72, 291659, 284.82, Right
77, 272336, 265.95, Left
77, 310162, 302.89, Right
82, 266294, 260.05, Left
82, 302656, 295.56, Right
87, 270778, 264.43, Left
87, 308241, 301.01, Right
92, 265409, 259.18, Left
92, 301957, 294.87, Right
96, 264386, 258.18, Left
96, 297260, 290.29, Right
100, 257977, 251.93, Left
100, 284380, 277.71, Right
105, 263203, 257.03, Left
105, 302711, 295.61, Right
109, 262209, 256.06, Left
109, 298416, 291.42, Right
113, 240162, 234.53, Left
113, 262811, 256.65, Right
117, 239698, 234.08, Left
117, 271274, 264.91, Right
121, 270790, 264.44, Left
121, 301306, 294.24, Right
124, 243362, 237.65, Left
124, 267867, 261.58, Right
127, 238991, 233.38, Left
127, 262388, 256.23, Right
130, 243306, 237.60, Left
130, 275416, 268.96, Right
134, 260138, 254.04, Left
134, 292608, 285.75, Right
137, 237053, 231.49, Left
137, 257011, 250.98, Right
140, 249337, 243.49, Left
140, 275892, 269.42, Right
144, 249644, 243.79, Left
144, 278198, 271.67, Right
148, 238635, 233.04, Left
148, 275860, 269.39, Right
151, 238247, 232.66, Left
151, 269335, 263.02, Right
154, 225991, 220.69, Left
154, 235997, 230.46, Right
158, 231903, 226.46, Left
158, 253369, 247.43, Right
162, 227664, 222.32, Left
162, 242219, 236.54, Right
166, 232393, 226.94, Left
166, 243876, 238.16, Right
170, 256917, 250.89, Left
170, 259150, 253.07, Right
174, 283963, 277.30, Left
174, 296247, 289.30, Right
178, 277392, 270.89, Left
178, 301421, 294.35, Right
182, 246931, 241.14, Left
182, 262062, 255.91, Right
185, 212378, 207.40, Left
185, 222698, 217.47, Right
188, 252375, 246.45, Left
188, 263590, 257.41, Right
191, 245296, 239.54, Left
191, 257877, 251.83, Right
193, 244770, 239.03, Left
193, 252243, 246.33, Right
194, 222358, 217.14, Left
194, 226973, 221.65, Right
195, 199254, 194.58, Left
195, 208554, 203.66, Right
196, 209172, 204.26, Left
196, 208828, 203.93, Right
197, 220848, 215.67, Left
197, 229350, 223.97, Right
198, 225575, 220.28, Left
198, 229238, 223.86, Right
201, 207331, 202.47, Left
201, 209625, 204.71, Right
204, 242795, 237.10, Left
204, 236084, 230.55, Right
208, 297532, 290.55, Left
208, 304621, 297.48, Right
212, 276687, 270.20, Left
212, 283483, 276.83, Right
215, 221307, 216.12, Left
215, 227464, 222.13, Right
219, 325795, 318.15, Left
219, 348848, 340.67, Right
222, 293476, 286.59, Left
222, 318637, 311.16, Right
225, 272981, 266.58, Left
225, 289872, 283.07, Right
228, 303027, 295.92, Left
228, 317116, 309.68, Right
232, 371580, 362.87, Left
232, 395970, 386.68, Right
236, 320592, 313.07, Left
236, 326724, 319.06, Right
240, 262510, 256.35, Left
240, 273988, 267.56, Right
244, 254745, 248.77, Left
244, 262367, 256.21, Right
248, 245883, 240.12, Left
248, 253980, 248.02, Right
252, 271517, 265.15, Left
252, 289519, 282.73, Right
256, 290315, 283.51, Left
256, 300675, 293.62, Right
260, 356453, 348.09, Left
260, 369675, 361.01, Right
264, 335877, 328.00, Left
264, 359559, 351.13, Right
268, 335210, 327.35, Left
268, 347329, 339.18, Right
272, 292589, 285.73, Left
272, 301670, 294.59, Right
276, 301251, 294.19, Left
276, 312729, 305.39, Right
280, 314510, 307.13, Left
280, 331672, 323.89, Right
285, 317780, 310.33, Left
285, 337233, 329.32, Right
289, 323552, 315.96, Left
289, 333701, 325.87, Right
