Frame Number, File Size (bytes), File Size (kB)
8, 19311, 18.85
17, 50866, 49.67
25, 49313, 48.15
27, 47694, 46.57
28, 47206, 46.09
31, 46248, 45.16
32, 44934, 43.88
33, 44476, 43.43
34, 43892, 42.86
35, 42671, 41.67
36, 44847, 43.79
37, 45926, 44.84
39, 46922, 45.82
40, 45462, 44.39
41, 45560, 44.49
49, 50366, 49.18
51, 47716, 46.59
58, 48499, 47.36
59, 47362, 46.25
60, 46719, 45.62
64, 48244, 47.11
65, 47015, 45.91
66, 48486, 47.34
74, 49533, 48.37
84, 50931, 49.73
87, 47272, 46.16
90, 45568, 44.50
91, 42921, 41.91
93, 45395, 44.33
94, 43900, 42.87
95, 42946, 41.93
96, 41584, 40.60
97, 41112, 40.14
98, 40502, 39.55
99, 40022, 39.08
100, 40147, 39.20
101, 39829, 38.89
102, 39356, 38.43
103, 38804, 37.89
104, 42008, 41.02
105, 39967, 39.03
106, 38088, 37.19
107, 38946, 38.03
108, 38053, 37.16
109, 37886, 36.99
110, 38835, 37.92
111, 39354, 38.43
112, 38765, 37.85
113, 38784, 37.87
114, 37524, 36.64
115, 37276, 36.40
116, 36987, 36.12
117, 36938, 36.07
118, 37037, 36.16
119, 36796, 35.93
120, 38924, 38.01
122, 44098, 43.06
123, 41394, 40.42
124, 37148, 36.27
125, 44733, 43.68
126, 39438, 38.51
128, 39774, 38.84
129, 41406, 40.43
130, 38631, 37.72
131, 39011, 38.09
132, 42184, 41.19
133, 46330, 45.24
134, 43384, 42.36
135, 42517, 41.52
136, 43343, 42.32
137, 44916, 43.86
138, 44760, 43.71
139, 46344, 45.25
140, 48551, 47.41
141, 46469, 45.37
142, 49478, 48.31
143, 47596, 46.48
144, 46390, 45.30
145, 49462, 48.30
146, 46930, 45.83
147, 48447, 47.31
148, 49979, 48.80
154, 53628, 52.37
155, 49244, 48.08
156, 47392, 46.28
158, 53378, 52.12
160, 49774, 48.60
161, 50408, 49.22
163, 51693, 50.48
164, 50522, 49.33
166, 51553, 50.34
168, 50876, 49.68
175, 53305, 52.05
